title,type,artist,year,source,source_id,tags,ship_ref,note,url,cover_img,img_note
Sparth,原画,Sparth,2010,manual,,概念设计|Halo|光环|美术总监,3,Halo 系列艺术总监：光环飞船与建筑视觉,https://www.artstation.com/sparth,,
Paul Chadeisson,原画,Paul Chadeisson,2019,manual,,概念设计|沙丘2049|赛博朋克|城市,2,沙丘2049/星战/赛博朋克2077概念：巨型城市+巨构,https://paulchadeisson.com/,,
Ben Mauro,原画,Ben Mauro,2015,manual,,概念设计|光环|星际穿越|机械,2,光环/星际穿越概念：机械与装甲设计,https://www.artstation.com/benmauro,,
Ian McQue,原画,Ian McQue,2015,manual,,概念设计|星际公民|飞船|工业,4,星际公民首席概念：锈蚀工业风飞船，世代飞船参考 (作品集见 Character Design References 专题页),https://www.characterdesignreferences.com/artists-of-the-week/ian-mcque,,
Jama Jurabaev,原画,Jama Jurabaev,2015,manual,,概念设计|星球大战|银翼杀手2049|数字绘画,2,星战/银翼杀手2049概念：数字绘画+3D 合成,https://www.artstation.com/jama,,
Aaron Beck,原画,Aaron Beck,2012,manual,,概念设计|星球大战|飞船|机械,2,星战概念：共和国/帝国载具与机械细节,https://www.artstation.com/aaronbeck,,
John Harris,原画,John Harris,1976,wikipedia,John_Harris_(artist),插画|封面艺术|宇宙|经典,2,英国科幻封面艺术：宇宙奇观风格,https://www.artstation.com/johnharris,,
Wayne Barlowe,原画,Wayne Barlowe,1979,wikipedia,Wayne_Barlowe,插画|异形星球|生物|经典,1,异形星球/地狱景观插画：外星生态想象力,https://en.wikipedia.org/wiki/Wayne_Barlowe,,
The Art and Soul of Blade Runner 2049,设定集,Tanya Lapointe,2017,goodreads,,设定集|银翼杀手2049|概念设计|电影,3,银翼杀手2049官方设定集：完整概念设计+世界观,https://www.goodreads.com/search?q=The+Art+and+Soul+of+Blade+Runner+2049,https://m.media-amazon.com/images/S/compressed.photo.goodreads.com/books/1509140860i/36405374.jpg,Goodreads 封面
The Art of Star Wars: The Force Awakens,设定集,Phil Szostak,2015,goodreads,,设定集|星球大战|概念设计|电影,3,原力觉醒官方设定集：新世代星战视觉,https://www.goodreads.com/search?q=The+Art+of+Star+Wars+The+Force+Awakens,https://m.media-amazon.com/images/S/compressed.photo.goodreads.com/books/1442178113i/25897664.jpg,Goodreads 封面
Star Wars Art: Ralph McQuarrie,设定集,Brandon Alinger,2012,goodreads,,设定集|星球大战|经典|概念设计,4,McQuarrie 作品全集：星战造型原点,https://www.goodreads.com/search?q=Star+Wars+Art+Ralph+McQuarrie,https://m.media-amazon.com/images/S/compressed.photo.goodreads.com/books/1778627167i/26240668.jpg,Goodreads 封面
The Art of Star Wars: Rogue One,设定集,Josh Kushins,2016,goodreads,,设定集|星球大战|概念设计|电影,3,侠盗一号设定集：死星与地面战争视觉,https://www.goodreads.com/search?q=The+Art+of+Star+Wars+Rogue+One,https://m.media-amazon.com/images/S/compressed.photo.goodreads.com/books/1469660239i/29633472.jpg,Goodreads 封面
Halo: The Art of Building Worlds,设定集,Titan Books,2013,goodreads,,设定集|Halo|光环|游戏美术,3,Halo 美术总集：人类/星盟飞船与建筑,https://www.goodreads.com/search?q=Halo+The+Art+of+Building+Worlds,https://m.media-amazon.com/images/S/compressed.photo.goodreads.com/books/1320561057i/10420868.jpg,Goodreads 封面
The Art of Mass Effect,设定集,BioWare,2007,goodreads,,设定集|质量效应|游戏美术|飞船,3,质量效应美术集：诺曼底号与银河文明视觉,https://www.goodreads.com/search?q=The+Art+of+Mass+Effect,https://m.media-amazon.com/images/S/compressed.photo.goodreads.com/books/1445026568i/12019220.jpg,Goodreads 封面
The Making of Star Wars,设定集,J.W. Rinzler,2007,goodreads,,设定集|星球大战|幕后|经典,2,星战制作内幕：原始概念与拍摄记录,https://www.goodreads.com/search?q=The+Making+of+Star+Wars,https://m.media-amazon.com/images/S/compressed.photo.goodreads.com/books/1438501244i/18870111.jpg,Goodreads 封面
The Art of Cyberpunk 2077,设定集,CD Projekt Red,2020,goodreads,,设定集|赛博朋克|游戏美术|城市,2,赛博朋克2077设定集：夜之城视觉圣经,https://www.goodreads.com/search?q=The+Art+of+Cyberpunk+2077,https://m.media-amazon.com/images/S/compressed.photo.goodreads.com/books/1651849969i/61043354.jpg,Goodreads 封面
The Art of Star Citizen,设定集,Cloud Imperium,2018,goodreads,,设定集|星际公民|飞船|游戏美术,4,星际公民艺术设定集：世代尺度飞船工业设计,https://www.goodreads.com/search?q=The+Art+of+Star+Citizen,https://s.gr-assets.com/assets/facebook/goodreads_wide-e23f6858b6bf20dcaf8493237a214a0e.png,Goodreads 封面
The Art and Making of Dune,设定集,Tanya Lapointe,2021,goodreads,,设定集|沙丘|概念设计|电影,3,沙丘(2021)设定集：厄拉科斯+巨型扑翼机视觉,https://www.goodreads.com/search?q=The+Art+and+Soul+of+Dune,https://m.media-amazon.com/images/S/compressed.photo.goodreads.com/books/1629042557i/51323317.jpg,Goodreads 封面
Alien: The Archive,设定集,Simon Ward,2014,goodreads,,设定集|异形|经典|电影,2,异形全系列艺术档案：诺斯特罗莫号与异形设计,https://www.goodreads.com/search?q=Alien+The+Archive,https://m.media-amazon.com/images/S/compressed.photo.goodreads.com/books/1405864904i/21432939.jpg,Goodreads 封面
The Art of Star Trek,设定集,Judith and Garfield Reeves-Stevens,1995,goodreads,,设定集|星际迷航|经典|飞船,3,星际迷航美术集：企业号与联邦视觉体系,https://www.goodreads.com/search?q=The+Art+of+Star+Trek,https://m.media-amazon.com/images/S/compressed.photo.goodreads.com/books/1407137858i/18371692.jpg,Goodreads 封面
The Science of Interstellar,设定集,Kip Thorne,2014,goodreads,,设定集|星际穿越|物理|科学顾问,2,星际穿越科学设定：虫洞/黑洞可视化幕后,https://www.goodreads.com/search?q=The+Science+of+Interstellar,https://m.media-amazon.com/images/S/compressed.photo.goodreads.com/books/1419181079i/23261448.jpg,Goodreads 封面
The Art of The Mandalorian,设定集,Phil Szostak,2020,goodreads,,设定集|曼达洛人|星战|剧集,2,曼达洛人概念设计：星战西部片视觉,https://www.goodreads.com/search?q=The+Art+of+The+Mandalorian,https://m.media-amazon.com/images/S/compressed.photo.goodreads.com/books/1593556022i/54266450.jpg,Goodreads 封面
The Art of Alita: Battle Angel,设定集,Titan Books,2019,goodreads,,设定集|阿丽塔|赛博朋克|电影,2,阿丽塔设定集：末世机甲城市视觉,https://www.goodreads.com/search?q=The+Art+of+Alita+Battle+Angel,https://m.media-amazon.com/images/S/compressed.photo.goodreads.com/books/1751117068i/40218762.jpg,Goodreads 封面
Megacity,原画,yiwenli,2025,artstation,megacity_yiwenli,巨构建筑|未来城市|垂直城市,2,未来巨城天际线：垂直城市尺度与密度参考（2026-08 A站采集）,https://www.artstation.com/yiwenli,,
Year 2039,原画,abrarkhan,2025,artstation,year2039_abrarkhan,未来城市|氛围|近未来,1,2039 近未来城市场景：日常氛围与光照参考（2026-08 A站采集）,https://www.artstation.com/abrarkhan,,
Megamachine,原画,donchenko,2025,artstation,megamachine_donchenko,机械|巨构|硬表面,3,巨型机械结构：硬表面工程细节参考（2026-08 A站采集）,https://www.artstation.com/donchenko,,
XONE Hovercraft,原画,ryuurui,2025,artstation,xone_hovercraft_ryuurui,载具|悬浮|工业设计,2,XONE 悬浮艇：未来载具外形参考（2026-08 A站采集）,https://www.artstation.com/ryuurui,,
Space Station,原画,hotch,2025,artstation,spacestation_hotch,空间站|轨道|环形,4,空间站全景：环形/桁架结构，世代飞船外形直接参考（2026-08 A站采集）,https://www.artstation.com/hotch,,
Sci-Fi Lab,原画,forge,2025,artstation,scifilab_forge,内部|实验室|舱室,3,科幻实验室内部：舱室设备与管线细节参考（2026-08 A站采集）,https://www.artstation.com/forge,,
Space Gas Station,原画,onepixel,2025,artstation,gasstation_onepixel,空间站|内部|后勤,4,轨道太空加油站：勤务舱段与对接细节，世代飞船后勤参考（2026-08 A站采集）,https://www.artstation.com/onepixel,,
Pin0Q0,原画,grasso,2025,artstation,pin0q0_grasso,飞船|停机坪|氛围,2,飞行器与地面勤务场景参考（2026-08 A站采集）,https://www.artstation.com/grasso,,
Pinterest 科幻参考 01,原画,未知,2025,pinterest,pinterest_01,科幻|氛围,1,Pinterest 科幻氛围参考（未登录态无作者信息，2026-08 采集）,,,
Pinterest 科幻参考 02,原画,未知,2025,pinterest,pinterest_02,科幻|氛围,1,Pinterest 科幻氛围参考（未登录态无作者信息，2026-08 采集）,,,
Pinterest 科幻参考 03,原画,未知,2025,pinterest,pinterest_03,科幻|氛围,1,Pinterest 科幻氛围参考（未登录态无作者信息，2026-08 采集）,,,
Pinterest 科幻参考 04,原画,未知,2025,pinterest,pinterest_04,科幻|氛围,1,Pinterest 科幻氛围参考（未登录态无作者信息，2026-08 采集）,,,
Pinterest 科幻参考 05,原画,未知,2025,pinterest,pinterest_05,科幻|氛围,1,Pinterest 科幻氛围参考（未登录态无作者信息，2026-08 采集）,,,
Soyuz Class Light Cruiser,原画,Thomas Marrone,2025,artstation,XVR0w,世代飞船|巨构|深空航行|生态循环,4,ArtStation 世代飞船设计参考（主题: generation ship，2026-08 采集）,https://www.artstation.com/artwork/XVR0w,https://cdnb.artstation.com/p/assets/covers/images/020/383/299/large/thomas-marrone-artstation-thumbnail-ship-fed-ff1-type1c-02.jpg?1567566546,ArtStation CDN 原图
Harvest Season (in the Valley of Bones),原画,Tuomas Korpi,2025,artstation,N56g4q,世代飞船|巨构|深空航行|生态循环,4,ArtStation 世代飞船设计参考（主题: generation ship，2026-08 采集）,https://www.artstation.com/artwork/N56g4q,https://cdnb.artstation.com/p/assets/covers/images/024/807/015/large/tuomas-korpi-thumbnail-01.jpg?1583601008,ArtStation CDN 原图
Tanja bdije,原画,Korin Hunjak,2025,artstation,dKYo63,世代飞船|巨构|深空航行|生态循环,4,ArtStation 世代飞船设计参考（主题: generation ship，2026-08 采集）,https://www.artstation.com/artwork/dKYo63,https://cdna.artstation.com/p/assets/images/images/075/925/420/4k/korin-a-hunjak-tanja-bdije-web.jpg?1715761537,ArtStation CDN 原图
Varro Generational Ship - Star Trek: Voyager,原画,Robert Bonchune,2025,artstation,8eJVAQ,世代飞船|巨构|深空航行|生态循环,4,ArtStation 世代飞船设计参考（主题: generation ship，2026-08 采集）,https://www.artstation.com/artwork/8eJVAQ,https://cdnb.artstation.com/p/assets/images/images/040/475/083/4k/robert-bonchune-varro-generational-ship-beauties-rb-05.jpg?1628964097,ArtStation CDN 原图
Armada,原画,Stijn Windig,2025,artstation,6LRgZN,世代飞船|巨构|深空航行|生态循环,4,ArtStation 世代飞船设计参考（主题: generation ship，2026-08 采集）,https://www.artstation.com/artwork/6LRgZN,https://cdnb.artstation.com/p/assets/images/images/089/503/083/4k/stijn-windig-armada-01-stars-copy.jpg?1751137153,ArtStation CDN 原图
Armada Arrival,原画,Stijn Windig,2025,artstation,rlynJE,世代飞船|巨构|深空航行|生态循环,4,ArtStation 世代飞船设计参考（主题: generation ship，2026-08 采集）,https://www.artstation.com/artwork/rlynJE,https://cdna.artstation.com/p/assets/images/images/089/503/606/4k/stijn-windig-abovetheclouds.jpg?1751138611,ArtStation CDN 原图
Star Trek The Next Generation - Romulan Scout Ship,原画,Marc Bell,2025,artstation,V8g2Vg,世代飞船|巨构|深空航行|生态循环,4,ArtStation 世代飞船设计参考（主题: generation ship，2026-08 采集）,https://www.artstation.com/artwork/V8g2Vg,https://cdnb.artstation.com/p/assets/images/images/101/146/103/4k/marc-bell-1.jpg?1785245393,ArtStation CDN 原图
USS Galaxy Sickbay Tadeo,原画,D Oria,2025,artstation,6EAow,世代飞船|巨构|深空航行|生态循环,4,ArtStation 世代飞船设计参考（主题: generation ship，2026-08 采集）,https://www.artstation.com/artwork/6EAow,https://cdnb.artstation.com/p/assets/images/images/009/860/703/4k/tadeo-d-oria-c1-01.jpg?1521268608,ArtStation CDN 原图
USS Quasar Bridge Tadeo,原画,D Oria,2025,artstation,nemQK,世代飞船|巨构|深空航行|生态循环,4,ArtStation 世代飞船设计参考（主题: generation ship，2026-08 采集）,https://www.artstation.com/artwork/nemQK,https://cdna.artstation.com/p/assets/images/images/006/646/658/4k/tadeo-d-oria-c1-11.jpg?1500189331,ArtStation CDN 原图
USS Galaxy Battle Bridge Tadeo,原画,D Oria,2025,artstation,Y5wKq,世代飞船|巨构|深空航行|生态循环,4,ArtStation 世代飞船设计参考（主题: generation ship，2026-08 采集）,https://www.artstation.com/artwork/Y5wKq,https://cdnb.artstation.com/p/assets/images/images/011/499/045/4k/tadeo-d-oria-c1-01.jpg?1529908087,ArtStation CDN 原图
USS Galaxy Bridge - 2360 Tadeo,原画,D Oria,2025,artstation,BKye8,世代飞船|巨构|深空航行|生态循环,4,ArtStation 世代飞船设计参考（主题: generation ship，2026-08 采集）,https://www.artstation.com/artwork/BKye8,https://cdna.artstation.com/p/assets/images/images/014/845/364/4k/tadeo-d-oria-c1-01.jpg?1545862176,ArtStation CDN 原图
Promellian Command Battlecruiser - Star Trek Online,原画,Ramon Matas,2025,artstation,a0XAOq,世代飞船|巨构|深空航行|生态循环,4,ArtStation 世代飞船设计参考（主题: generation ship，2026-08 采集）,https://www.artstation.com/artwork/a0XAOq,https://cdna.artstation.com/p/assets/covers/images/088/711/264/large/ramon-matas-ramon-matas-promb1-logo.jpg?1748984043,ArtStation CDN 原图
米伦时光 Miren Time 场景篇 - Gail住宅 （模拟经营：前期美术设计）,原画,sleepy pang,2025,artstation,L4aleR,世代飞船|巨构|深空航行|生态循环,4,ArtStation 世代飞船设计参考（主题: generation ship，2026-08 采集）,https://www.artstation.com/artwork/L4aleR,https://cdnb.artstation.com/p/assets/covers/images/081/183/357/large/sleepy-pang-sleepy-pang.jpg?1729604553,ArtStation CDN 原图
Phoenix - Interplanetary Autonomous Payload System Josh,原画,Van Zuylen,2025,artstation,ykoVwQ,世代飞船|巨构|深空航行|生态循环,4,ArtStation 世代飞船设计参考（主题: generation ship，2026-08 采集）,https://www.artstation.com/artwork/ykoVwQ,https://cdna.artstation.com/p/assets/covers/images/030/893/142/large/josh-van-zuylen-josh-van-zuylen-renders-rocket-6.jpg?1601981910,ArtStation CDN 原图
Airlock,原画,Stephen Mokrytzki,2025,artstation,wlzW5,空间站|轨道基地|桁架结构|微重力,3,ArtStation 空间站与轨道设施参考（主题: space station，2026-08 采集）,https://www.artstation.com/artwork/wlzW5,https://cdnb.artstation.com/p/assets/covers/images/011/798/441/large/stephen-mokrytzki-stephen-mokrytzki-sm-airlock-static.jpg?1531456942,ArtStation CDN 原图
Stanford Torus Space Colony Mk.3,原画,Glenn Clovis,2025,artstation,w6a1O,空间站|轨道基地|桁架结构|微重力,3,ArtStation 空间站与轨道设施参考（主题: space station，2026-08 采集）,https://www.artstation.com/artwork/w6a1O,https://cdnb.artstation.com/p/assets/images/images/000/467/317/4k/glenn-clovis-15974469736-6dc9d3f563-o.jpg?1423668664,ArtStation CDN 原图
Project PEACEKEEPER - Kinetic Strike Dart (KSD) Felix Riga van,原画,den Bergh,2025,artstation,28rGby,空间站|轨道基地|桁架结构|微重力,3,ArtStation 空间站与轨道设施参考（主题: space station，2026-08 采集）,https://www.artstation.com/artwork/28rGby,https://cdna.artstation.com/p/assets/covers/images/037/995/436/large/felix-van-den-bergh-felix-van-den-bergh-thumb.jpg?1621887627,ArtStation CDN 原图
Halo 5 space,原画,station sparth,2025,artstation,0abP5,空间站|轨道基地|桁架结构|微重力,3,ArtStation 空间站与轨道设施参考（主题: space station，2026-08 采集）,https://www.artstation.com/artwork/0abP5,https://cdnb.artstation.com/p/assets/covers/images/001/482/745/large/sparth-sparth-space-station-finalfinal-s.jpg?1447197605,ArtStation CDN 原图
last year s space station,原画,concept Catan,2025,artstation,mz0Y98,空间站|轨道基地|桁架结构|微重力,3,ArtStation 空间站与轨道设施参考（主题: space station，2026-08 采集）,https://www.artstation.com/artwork/mz0Y98,https://cdnb.artstation.com/p/assets/covers/images/048/011/255/large/catan-catan-3.jpg?1649000707,ArtStation CDN 原图
Girl imprisoned in,原画,space 北陵重工的票票,2025,artstation,GakrGa,空间站|轨道基地|桁架结构|微重力,3,ArtStation 空间站与轨道设施参考（主题: space station，2026-08 采集）,https://www.artstation.com/artwork/GakrGa,https://cdnb.artstation.com/p/assets/images/images/030/092/193/4k/dzcpj-2.jpg?1599585508,ArtStation CDN 原图
Space Station,原画,florent lebrun,2025,artstation,ld0zG,空间站|轨道基地|桁架结构|微重力,3,ArtStation 空间站与轨道设施参考（主题: space station，2026-08 采集）,https://www.artstation.com/artwork/ld0zG,https://cdna.artstation.com/p/assets/images/images/007/597/212/4k/florent-lebrun-space-station.jpg?1507219435,ArtStation CDN 原图
Fly Space Station,原画,Longque Chen,2025,artstation,v1ZRvD,空间站|轨道基地|桁架结构|微重力,3,ArtStation 空间站与轨道设施参考（主题: space station，2026-08 采集）,https://www.artstation.com/artwork/v1ZRvD,https://cdnb.artstation.com/p/assets/images/images/016/460/993/4k/longque-chen-fly-space-mech-final-painting-33-2.jpg?1552262737,ArtStation CDN 原图
space stations,原画,florent lebrun,2025,artstation,NXzn5,空间站|轨道基地|桁架结构|微重力,3,ArtStation 空间站与轨道设施参考（主题: space station，2026-08 采集）,https://www.artstation.com/artwork/NXzn5,https://cdnb.artstation.com/p/assets/images/images/011/370/563/4k/florent-lebrun-station02.jpg?1529255676,ArtStation CDN 原图
Project PEACEKEEPER - Orbital Skybox Felix Riga van,原画,den Bergh,2025,artstation,bKXQJm,空间站|轨道基地|桁架结构|微重力,3,ArtStation 空间站与轨道设施参考（主题: space station，2026-08 采集）,https://www.artstation.com/artwork/bKXQJm,https://cdnb.artstation.com/p/assets/covers/images/028/001/365/large/felix-van-den-bergh-felix-van-den-bergh-thumb.jpg?1593188910,ArtStation CDN 原图
Space Station,原画,Hakob Minasian,2025,artstation,bgxQE,空间站|轨道基地|桁架结构|微重力,3,ArtStation 空间站与轨道设施参考（主题: space station，2026-08 采集）,https://www.artstation.com/artwork/bgxQE,https://cdnb.artstation.com/p/assets/covers/images/001/140/887/large/hakob-minasian-spacestationv2.jpg?1440893761,ArtStation CDN 原图
Горизонт (Horizon) space station,原画,Alexey Pyatov,2025,artstation,Xmg8L,空间站|轨道基地|桁架结构|微重力,3,ArtStation 空间站与轨道设施参考（主题: space station，2026-08 采集）,https://www.artstation.com/artwork/Xmg8L,https://cdnb.artstation.com/p/assets/covers/images/031/817/083/large/alexey-pyatov-alexey-pyatov-alexey-pyatov-4k2.jpg?1604669596,ArtStation CDN 原图
Space Station Xiaopeng Shen,原画,- Lucy,2025,artstation,ozlZq,空间站|轨道基地|桁架结构|微重力,3,ArtStation 空间站与轨道设施参考（主题: space station，2026-08 采集）,https://www.artstation.com/artwork/ozlZq,https://cdnb.artstation.com/p/assets/images/images/003/382/929/4k/lucy-shen-2016082601.jpg?1473112451,ArtStation CDN 原图
Alien: Romulus Renaissanse Space Station I,原画,Alex Nice,2025,artstation,bg5l0d,空间站|轨道基地|桁架结构|微重力,3,ArtStation 空间站与轨道设施参考（主题: space station，2026-08 采集）,https://www.artstation.com/artwork/bg5l0d,https://cdnb.artstation.com/p/assets/covers/images/079/620/879/large/alex-nice-alex-nice-station-thumb.jpg?1725388550,ArtStation CDN 原图
LWS Gemini interior design,原画,Andrian Luchian,2025,artstation,ZEmQZ,舱内结构|生活区|驾驶舱|管线细节,3,ArtStation 飞船内部空间与人机工效（主题: spaceship interior，2026-08 采集）,https://www.artstation.com/artwork/ZEmQZ,https://cdna.artstation.com/p/assets/images/images/007/196/064/4k/andrian-luchian-gemini-crew-quarter-andrian-luchian.jpg?1504373785,ArtStation CDN 原图
Stylized Spaceship Interior,原画,Tyler Smith,2025,artstation,3qBOA,舱内结构|生活区|驾驶舱|管线细节,3,ArtStation 飞船内部空间与人机工效（主题: spaceship interior，2026-08 采集）,https://www.artstation.com/artwork/3qBOA,https://cdna.artstation.com/p/assets/images/images/000/552/694/4k/tyler-smith-interiorrender2.jpg?1443927969,ArtStation CDN 原图
USS Enterprise Bridge,原画,David Knapp,2025,artstation,nYOdqK,舱内结构|生活区|驾驶舱|管线细节,3,ArtStation 飞船内部空间与人机工效（主题: spaceship interior，2026-08 采集）,https://www.artstation.com/artwork/nYOdqK,https://cdna.artstation.com/p/assets/covers/images/034/317/346/large/david-knapp-david-knapp-slideshow-v034.jpg?1611967293,ArtStation CDN 原图
Spaceship Corridor,原画,Adam Taylor,2025,artstation,Yy50w,舱内结构|生活区|驾驶舱|管线细节,3,ArtStation 飞船内部空间与人机工效（主题: spaceship interior，2026-08 采集）,https://www.artstation.com/artwork/Yy50w,https://cdna.artstation.com/p/assets/images/images/007/601/124/4k/adam-taylor-digi-0023.jpg?1507238933,ArtStation CDN 原图
In Orbit,原画,Daniel McGarry,2025,artstation,LRKzAR,舱内结构|生活区|驾驶舱|管线细节,3,ArtStation 飞船内部空间与人机工效（主题: spaceship interior，2026-08 采集）,https://www.artstation.com/artwork/LRKzAR,https://cdna.artstation.com/p/assets/covers/images/075/154/444/large/daniel-mcgarry-daniel-mcgarry-pilgrim002a.jpg?1713883915,ArtStation CDN 原图
Spaceship interior UE4 environment,原画,David Garrett,2025,artstation,P6wRy,舱内结构|生活区|驾驶舱|管线细节,3,ArtStation 飞船内部空间与人机工效（主题: spaceship interior，2026-08 采集）,https://www.artstation.com/artwork/P6wRy,https://cdnb.artstation.com/p/assets/images/images/001/226/311/4k/david-garrett-finalshot.jpg?1442534888,ArtStation CDN 原图
Spaceship Interior - Relight,原画,Michael Meador,2025,artstation,4bmz02,舱内结构|生活区|驾驶舱|管线细节,3,ArtStation 飞船内部空间与人机工效（主题: spaceship interior，2026-08 采集）,https://www.artstation.com/artwork/4bmz02,https://cdnb.artstation.com/p/assets/images/images/025/788/471/4k/michael-meador-corrected-1-2-1.jpg?1586926008,ArtStation CDN 原图
Interplanetary Pioneers - Unreal Engine,原画,Tosh V,2025,artstation,g0qPaP,舱内结构|生活区|驾驶舱|管线细节,3,ArtStation 飞船内部空间与人机工效（主题: spaceship interior，2026-08 采集）,https://www.artstation.com/artwork/g0qPaP,https://cdnb.artstation.com/p/assets/covers/images/066/266/743/large/t-v-t-v-scifiindustrial-01.jpg?1692484693,ArtStation CDN 原图
Unity Visual Effect Graph - Spaceship Demo,原画,Sergey Tyapkin,2025,artstation,xzzxPE,舱内结构|生活区|驾驶舱|管线细节,3,ArtStation 飞船内部空间与人机工效（主题: spaceship interior，2026-08 采集）,https://www.artstation.com/artwork/xzzxPE,https://cdna.artstation.com/p/assets/covers/images/013/606/438/large/sergey-tyapkin-spaceshipdemo-unity-5.jpg?1540379287,ArtStation CDN 原图
The Delegation landing,原画,Pierre Deschamps,2025,artstation,Gv4mg1,舱内结构|生活区|驾驶舱|管线细节,3,ArtStation 飞船内部空间与人机工效（主题: spaceship interior，2026-08 采集）,https://www.artstation.com/artwork/Gv4mg1,https://cdnb.artstation.com/p/assets/covers/images/099/010/221/large/pierre-deschamps-pierre-deschamps-hangar06v05.webp?1778682275,ArtStation CDN 原图
Behemoth | Spaceship Interior (VXGI),原画,Laura Menigoz,2025,artstation,AWGyN,舱内结构|生活区|驾驶舱|管线细节,3,ArtStation 飞船内部空间与人机工效（主题: spaceship interior，2026-08 采集）,https://www.artstation.com/artwork/AWGyN,https://cdna.artstation.com/p/assets/covers/images/006/237/146/large/laura-menigoz-the-cubic-cat-thumbnail-artstation-behemoth-vxgi.jpg?1497015759,ArtStation CDN 原图
Behemoth | Spaceship Interior (no-VXGI),原画,Laura Menigoz,2025,artstation,9QqrO,舱内结构|生活区|驾驶舱|管线细节,3,ArtStation 飞船内部空间与人机工效（主题: spaceship interior，2026-08 采集）,https://www.artstation.com/artwork/9QqrO,https://cdnb.artstation.com/p/assets/covers/images/006/097/173/large/laura-menigoz-the-cubic-cat-laura-menigoz-the-cubic-cat-menigoz-laura-book2017-022.jpg?1496048581,ArtStation CDN 原图
Captain Marvel Skrull Pod and Mothership,原画,Pablo Dominguez,2025,artstation,Z5oP10,舱内结构|生活区|驾驶舱|管线细节,3,ArtStation 飞船内部空间与人机工效（主题: spaceship interior，2026-08 采集）,https://www.artstation.com/artwork/Z5oP10,https://cdna.artstation.com/p/assets/covers/images/017/976/480/large/pablo-dominguez-logo.jpg?1558049078,ArtStation CDN 原图
